No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
400,5583,5583,3798.5,1492.5,302.71,0
401,5756,5756,3974.5,1668.5,306.578,0
402,6005,6005,4219.5,1913.5,311.962,0
403,6083,6083,4297.5,1991.5,313.676,0
404,6116,6116,4330.5,2024.5,314.423,0
405,6128,6127,4341.5,2035.5,314.687,0
406,6313,6319,4533.5,2227.5,318.928,0
407,6669,6672,4886.5,274.5,326.751,0
408,7191,7202,5416.5,804.5,338.486,0
409,7878,7885,6099.5,1487.5,353.407,0
410,8438,-7936,6661.5,2049.5,5.75754,0
411,8918,-7461,7136.5,218.5,16.1079,0
412,9266,-7111,7486.5,568.5,23.8652,0
413,9420,-6963,7634.5,716.5,26.9418,0
414,9489,-6894,7703.5,785.5,28.5679,0
415,9734,-6649,7948.5,1030.5,33.9079,0
416,9976,-6403,8194.5,1276.5,39.3798,0
417,10382,-5994,8603.5,1685.5,48.4776,0
418,11025,-5350,9247.5,23.5,62.6737,0
419,11797,-4582,10015.5,791.5,79.4189,0
420,12294,-4085,10512.5,1288.5,90.3186,0
421,12670,-3708,10889.5,1665.5,98.5154,0
422,13038,-3338,11259.5,2035.5,106.646,0
423,13324,-3058,11539.5,9.5,112.799,0
424,13650,-2726,11871.5,341.5,120.095,0
425,14089,-2292,12305.5,775.5,129.633,0
426,14424,-1956,12641.5,1111.5,137.104,0
427,14672,-1710,12887.5,1357.5,142.422,0
428,14750,-1633,12965.5,1435.5,144.136,0
429,14938,-1445,13157.5,1627.5,148.356,0
430,15308,-1075,13526.5,1996.5,156.464,0
431,15914,-469,14135.5,299.5,169.847,0
432,367,367,14976.5,1140.5,188.307,0
433,1265,1265,15871.5,2035.5,207.975,0
434,2089,2089,315.5,315.5,226.17,0
435,2690,2695,909.5,909.5,239.224,0
436,2950,2950,1165.5,1165.5,244.849,0
437,2959,2959,1174.5,1174.5,245.047,0
438,2841,2841,1052.5,1052.5,242.366,0
439,2638,2638,852.5,850.5,237.927,0
440,2497,2493,707.5,707.5,234.785,0
441,2301,2296,510.5,510.5,230.455,0
442,1971,1970,184.5,184.5,223.291,0
443,1765,1764,16362.5,220.5,218.764,0
444,1756,1756,16354.5,212.5,218.589,0
445,1895,1895,111.5,111.5,221.687,0
446,1973,1973,187.5,187.5,223.357,0
447,1804,1804,14.5,14.5,219.556,0
448,1655,1655,16255.5,113.5,216.413,0
449,1892,1892,111.5,111.5,221.687,0
450,2328,2328,550.5,550.5,231.334,0
451,2922,2922,1144.5,1144.5,244.388,0
452,3474,3474,1695.5,1695.5,256.496,0
453,4026,4030,2244.5,2244.5,268.561,0
454,4676,4685,2899.5,593.5,283.13,0
455,5143,5148,3362.5,1056.5,293.151,0
456,5162,5161,3375.5,1069.5,293.393,0
457,4970,4970,3184.5,874.5,289.13,0
458,4730,4730,2944.5,638.5,283.877,0
459,4374,4374,2588.5,282.5,275.944,0
460,4073,4073,2287.5,2288.5,269.528,0
461,4150,4150,2364.5,58.5,271.176,0
462,4526,4526,2740.5,441.5,279.614,0
463,5134,5134,3348.5,1048.5,292.953,0
464,5621,5621,3835.5,1537.5,303.699,0
465,6282,6282,4496.5,2200.5,318.269,0
466,7088,7088,5302.5,701.5,336.003,0
467,7787,7787,6001.5,1395.5,351.254,0
468,8062,8062,6276.5,1661.5,357.099,0
