time, angle [deg]
14.626,23177.5
14.637,23192.3
14.647,23213.3
14.657,23231.2
14.667,23249.2
14.677,23270.7
14.687,23288.3
14.698,23307.4
14.708,23326
14.718,23340.5
14.728,23357.2
14.738,23374.5
14.748,23390.1
14.758,23404.2
14.769,23422.9
14.779,23437.7
14.789,23452.7
14.799,23472.1
14.809,23488.1
14.819,23502.5
14.829,23522.6
14.84,23540.3
14.85,23555.7
14.86,23576.4
14.87,23594.1
14.88,23613.9
14.89,23635.4
14.901,23653.3
14.911,23673.3
14.921,23691.7
14.931,23705.1
14.941,23724.4
14.951,23741.3
14.961,23754.7
14.972,23772.8
14.982,23789.7
14.992,23804.2
15.002,23822.4
15.012,23840.9
15.022,23854.7
15.033,23873.7
15.043,23892
15.053,23906.8
15.063,23926.5
15.073,23945
15.083,23962.3
15.093,23984.7
15.104,24003.8
15.114,24022.7
15.124,24042.2
15.134,24058.1
15.144,24073.9
15.154,24092.2
15.164,24108.7
15.175,24122.8
15.185,24142.1
15.195,24157.4
15.205,24172.9
15.215,24192.7
15.225,24208.7
15.236,24223.8
15.246,24243.8
15.256,24261.1
15.266,24277.1
15.276,24297.6
15.286,24315.4
15.296,24335.6
15.307,24356.6
15.317,24374.6
15.327,24394.8
15.337,24413
15.347,24426.6
15.357,24446.1
15.367,24462.9
15.378,24476.2
15.388,24495.2
15.398,24511.6
15.408,24526
15.418,24544.6
15.428,24562.6
15.438,24575.9
15.449,24595.7
15.459,24613.9
15.469,24628.4
15.479,24649.2
15.489,24667.4
15.499,24685
15.509,24707.8
15.52,24727
15.53,24746.8
15.54,24766.6
15.55,24781.7
15.56,24800.2
15.57,24817.6
15.58,24832.9
15.591,24850.2
15.601,24867.9
15.611,24883.1
15.621,24901
15.631,24919.8
15.641,24933.9
15.652,24953.2
15.662,24971.9
15.672,24987.3
15.682,25007.8
15.692,25026.6
15.702,25044.2
15.712,25066.6
15.723,25085.6
15.733,25104.8
15.743,25124.4
15.753,25139.9
15.763,25157.1
15.773,25174.6
15.783,25190.5
15.794,25205.5
15.804,25224.2
15.814,25239.2
15.824,25255.1
15.834,25274.2
15.844,25289.5
15.854,25304.8
15.865,25324.6
15.875,25341.7
15.885,25358.2
15.895,25378.4
15.905,25396
15.915,25416.4
15.925,25437.2
15.936,25455
15.946,25475.3
15.956,25493.6
15.966,25507.4
15.976,25527
15.986,25543.9
15.997,25557.1
16.007,25576.6
16.017,25592.6
16.027,25607.2
16.037,25626.2
16.047,25643.8
16.057,25657.2
16.068,25677.5
16.078,25695.9
16.088,25710.4
16.098,25731.9
16.108,25750.2
16.118,25768.8
16.129,25790.7
16.139,25809.1
16.149,25828.8
16.159,25847.8
16.169,25862.3
16.179,25880.8
16.189,25898.1
16.2,25913
16.21,25930.1
16.22,25947.6
16.23,25962.5
16.24,25980.1
16.25,25998.8
16.26,26013.1
16.271,26031.8
16.281,26050.3
16.291,26066
16.301,26085.3
16.311,26104.3
16.321,26121.7
16.331,26144.3
16.342,26163.7
16.352,26182.8
16.362,26202.7
16.372,26219
16.382,26235.6
16.392,26253.7
16.402,26269.8
16.413,26284.8
16.423,26303.8
16.433,26319.1
16.443,26335.4
16.453,26354.8
16.463,26370.3
